Location,Year,Deaths,Prevalence,Incidence,Total Medicine Shipment Vol,Total Shipment Value,Quality of Infrastructure,Business impact of HIV_AIDS,ARV Coverage(%),DeliveryStatus_On Time,DeliveryStatus_Late,OnTime_Status(%)
Côte d'Ivoire,"Tuesday, January 1, 2008",28919.4,578695.0967,39129.88983,533411,5832879.97,4,3,10,73,2,0.97
Côte d'Ivoire,"Sunday, January 1, 2006",36478.25,590747.5909,43698.89901,29553,370713.7,3,3,5,14,0,1
Benin,"Tuesday, January 1, 2008",3255.46,56491.34598,5620.239717,3104,108032,3,4,17,3,0,1
Ethiopia,"Sunday, January 1, 2006",42103.04,674855.3287,54052.71184,200,16000,2,3,7,1,0,1
Côte d'Ivoire,"Thursday, January 1, 2009",28432.7,575967.0033,37759.86613,896751,10855395.38,3.93,3.31,14,129,13,0.91
Benin,"Saturday, January 1, 2011",1896.9,63764.12072,5762.895391,134245,679693.48,3,4,35,7,3,0.7
Nigeria,"Sunday, January 1, 2006",93947.89,1504022.602,134668.5842,58207,160146.55,2,4,8,11,0,1
Botswana,"Monday, January 1, 2007",8855.17,296503.3057,15565.09223,645,41250,4,3,30,5,0,1
Tanzania,"Sunday, January 1, 2006",96712.91,1353551.639,70245.57703,16667,60834.55,3,3,5,1,0,1
Botswana,"Tuesday, January 1, 2008",8508.4,303814.0675,14911.92294,4753,163522.5,5,3,38,21,0,1
Uganda,"Sunday, January 1, 2006",58622.55,1050286.033,108957.1139,24128,201289.7,3,3,9,5,0,1
Zambia,"Sunday, January 1, 2006",44526.44,837632.228,75884.78106,178001,2517224.33,2,3,9,10,0,1
Botswana,"Thursday, January 1, 2009",8036.38,310571.5877,14096.08061,1719,124416,4.61,2.79,45,13,1,0.93
Zimbabwe,"Sunday, January 1, 2006",86866.01,1318151.592,92572.57727,685,21934.3,3,2,5,2,0,1
Botswana,"Friday, January 1, 2010",7508.47,316736.9922,13656.95709,249,21900,4.68,2.9,51,19,0,1
Côte d'Ivoire,"Monday, January 1, 2007",32606.45,583534.6098,41579.67047,1145218,12069370.48,3,3,6,162,2,0.99
Ethiopia,"Monday, January 1, 2007",35348.94,661194.8079,52262.05235,458520,1839009.62,2,3,13,27,4,0.87
Botswana,"Saturday, January 1, 2011",6895.15,323148.7896,13248.8333,169,4890,5,3,55,6,0,1
Mozambique,"Monday, January 1, 2007",55274.71,1147813.558,149844.0732,535301,7304760.38,2,2,7,84,0,1
Botswana,"Sunday, January 1, 2012",6336.85,329102.6286,12095.11285,5600,167200,4.45,2.95,63,2,0,1
Namibia,"Monday, January 1, 2007",6081.73,156273.4221,13286.49241,1290,86200,5,2,26,7,0,1
Botswana,"Thursday, January 1, 2015",5604.31,344279.8213,10410.8725,106397,1109720.71,4,3,75,2,1,0.67
Nigeria,"Monday, January 1, 2007",92094.98,1526032.736,131145.7123,196036,4671642.42,2,4,9,74,3,0.96
Rwanda,"Monday, January 1, 2007",6646.5,193891.6125,14673.64949,160878,2526013.17,4,3,20,35,1,0.97
Ethiopia,"Tuesday, January 1, 2008",30146.93,658521.2954,50043.47819,750425,5574496.25,3,3,20,45,1,0.98
Tanzania,"Monday, January 1, 2007",81721.46,1359509.224,77020.74766,331303,6180239.56,3,3,10,47,0,1
Uganda,"Monday, January 1, 2007",59803.25,1072799.762,109526.5017,22001,204885.06,3,3,11,12,0,1
Ethiopia,"Thursday, January 1, 2009",26735.19,663150.7768,48486.8724,596742,5002639.66,3.18,2.72,27,40,0,1
Zambia,"Monday, January 1, 2007",38513.82,863531.7383,75554.11098,1506964,16485986.84,2,3,17,96,0,1
Namibia,"Tuesday, January 1, 2008",5076.15,163424.8048,13185.09445,75112,972222.12,5,3,32,22,0,1
Zimbabwe,"Monday, January 1, 2007",77472.41,1294199.75,90631.84334,311950,2605194.71,3,2,8,35,0,1
Côte d'Ivoire,"Friday, January 1, 2010",32037.18,570177.6034,37442.11346,1515631,14919430.41,3.86,3.55,16,146,25,0.85
Namibia,"Thursday, January 1, 2009",4731.92,170925.6805,13304.61061,48303,835738.25,5.51,3.13,35,31,0,1
Côte d'Ivoire,"Saturday, January 1, 2011",33204.43,558595.8402,34914.37444,1212294,14509800.42,4,4,19,71,29,0.71
Kenya,"Tuesday, January 1, 2008",92382,1675496.742,89192.11284,85000,2376742,3,3,18,24,0,1
Côte d'Ivoire,"Sunday, January 1, 2012",29870.43,546954.9337,31345.5731,2005809,21597700.65,3.62,4.25,22,111,3,0.97
Lesotho,"Tuesday, January 1, 2008",11560.3,287524.785,26459.89985,14,4900,2,2,20,2,0,1
Côte d'Ivoire,"Tuesday, January 1, 2013",27280.77,538988.2972,29399.68842,1011218,11577980.52,3.76,4.87,26,83,15,0.85
Mozambique,"Tuesday, January 1, 2008",55338.62,1200664.322,152749.7581,1312280,11593655.4,2,2,9,60,1,0.98
Côte d'Ivoire,"Wednesday, January 1, 2014",25048.84,530236.0943,27974.50862,1817757,15674866.46,4,5,30,116,26,0.82
Côte d'Ivoire,"Thursday, January 1, 2015",21522.84,524586.372,26817.1659,1610778,13412251.62,4,5,35,38,19,0.67
Nigeria,"Tuesday, January 1, 2008",89421.92,1550379.435,130379.1509,773610,14681182.55,2,5,14,140,1,0.99
Mozambique,"Thursday, January 1, 2009",56594.97,1263530.952,156557.9702,1250059,11014320.3,2.74,2.46,11,63,1,0.98
Rwanda,"Tuesday, January 1, 2008",6068.2,199913.2624,14156.3849,594216,6834260.69,4,4,27,35,0,1
South Africa,"Tuesday, January 1, 2008",262048.99,5693052.89,295038.5628,44959,573452.07,4,2,13,113,3,0.97
Ethiopia,"Friday, January 1, 2010",24208.16,671319.4616,46384.36057,370482,1802940.88,3.76,3.45,33,31,3,0.91
Tanzania,"Tuesday, January 1, 2008",73777.33,1390134.749,80461.50249,2081678,19359924.52,2,3,11,56,2,0.97
Uganda,"Tuesday, January 1, 2008",56781.65,1092171.251,109257.4133,96475,865661.6,3,3,16,47,0,1
Ethiopia,"Saturday, January 1, 2011",22348.24,680257.623,43736.85141,274174,2940700.54,4,4,40,19,4,0.83
Zambia,"Tuesday, January 1, 2008",32048.33,894230.9913,74132.29295,2940960,29715451.28,2,3,23,95,1,0.99
Kenya,"Thursday, January 1, 2009",83622.7,1662724.98,85819.29565,105720,6078578.7,3.2,3.04,25,17,2,0.89
Zimbabwe,"Tuesday, January 1, 2008",68057.49,1277172.19,88629.9047,647987,5354154.32,3,2,12,54,0,1
Ethiopia,"Sunday, January 1, 2012",21064.16,689170.4417,40647.20674,87589,1489453.18,3.58,3.71,43,29,0,1
Ethiopia,"Tuesday, January 1, 2013",20315.04,697962.2313,37646.06908,4994,126097,3.4,3.87,48,2,0,1
Ethiopia,"Wednesday, January 1, 2014",19616.28,704046.8942,34895.1608,12257,239086.66,3,4,55,6,0,1
Ethiopia,"Thursday, January 1, 2015",18765.51,708923.4664,32832.94469,4530,115140,3,4,59,3,0,1
Mozambique,"Friday, January 1, 2010",58368.07,1338208.299,167139.9332,1053264,11280319.32,3.27,3.09,14,32,10,0.76
Nigeria,"Thursday, January 1, 2009",84898.6,1583586.917,130002.8129,2439717,35310002.16,2.43,4.56,18,167,15,0.92
Kenya,"Friday, January 1, 2010",76337.33,1655556.883,81091.23633,98515,6842480,3.76,3.28,32,16,7,0.7
Rwanda,"Thursday, January 1, 2009",5573.89,206143.6536,13908.12658,425127,3610329.56,4.2669,3.6957,33,28,0,1
Senegal,"Thursday, January 1, 2009",1694.81,48774.82076,4603.043546,80,6800,3.72,4.86,23,1,0,1
South Africa,"Thursday, January 1, 2009",241843.29,5880685.303,279254.2768,595062,7079591.28,4.74,2.02,18,290,8,0.97
Tanzania,"Thursday, January 1, 2009",72213.03,1417703.035,80058.57621,329204,11122705.95,2.66,3.15,15,42,0,1
Mozambique,"Thursday, January 1, 2015",52421.26,1727172.972,157976.035,2876717,26431385.35,3,4,40,31,15,0.67
Uganda,"Thursday, January 1, 2009",52758.12,1116583.075,110886.9761,430725,4150093.91,2.87,2.65,18,94,4,0.96
Zambia,"Thursday, January 1, 2009",28240.43,938502.4385,74932.95616,2736829,27112934.18,2.89,2.74,28,61,1,0.98
Mozambique,"Saturday, January 1, 2011",60191.84,1413148.508,164529.0166,1018453,11632783.83,3,3,16,38,14,0.73
Zimbabwe,"Thursday, January 1, 2009",58590.59,1268790.282,86360.21206,606792,4394298.65,3.16,2.76,17,26,0,1
Mozambique,"Wednesday, January 1, 2014",56065.63,1643702.315,157825.6581,6521076,59751187.71,3,4,34,96,39,0.71
Kenya,"Saturday, January 1, 2011",69796.38,1646534.14,77210.09787,116692,8873967,4,3,40,17,1,0.94
Kenya,"Sunday, January 1, 2012",64488.22,1641695.736,77028.0607,122020,7803787.28,3.98,3.3,44,17,4,0.81
Kenya,"Tuesday, January 1, 2013",61909.68,1637909.502,74229.43366,40255,1956006,4.38,3.57,48,5,0,1
Kenya,"Wednesday, January 1, 2014",59583.83,1630831.427,67151.14126,2429,0,4,4,55,1,0,1
Lesotho,"Wednesday, January 1, 2014",9710.77,335905.2332,20913.72225,4604,248320,4,4,45,2,0,1
Namibia,"Friday, January 1, 2010",4565.53,177244.3576,12243.03335,4770,185700,5.62,3.23,42,6,0,1
Mozambique,"Tuesday, January 1, 2013",60282.23,1566808.271,162296.2949,2580185,21555427.25,3.12,3.31,26,65,22,0.75
Nigeria,"Friday, January 1, 2010",83436.65,1622491.853,130766.9365,3548094,33868399.02,2.42,3.71,24,181,28,0.87
Namibia,"Wednesday, January 1, 2014",4079.33,196579.734,9215.34368,480366,3623306.99,5,3,56,17,1,0.94
Rwanda,"Friday, January 1, 2010",5171.35,211777.39,13097.58568,1031029,9916614.97,4.31,3.81,38,44,0,1
Mozambique,"Sunday, January 1, 2012",61665.44,1490840.7,163632.1722,2104799,21460851.18,3,2.93,18,46,14,0.77
South Africa,"Friday, January 1, 2010",214356.37,6105920.742,286467.6355,5829963,26199468.38,4.6,2.48,24,103,46,0.69
Namibia,"Saturday, January 1, 2011",4245.16,183320.8132,11448.73408,2398,95016,5,3,49,6,0,1
Tanzania,"Friday, January 1, 2010",69030.53,1453830.073,74277.28455,735300,7120975.21,3.01,3.36,18,30,3,0.91
Namibia,"Sunday, January 1, 2012",3924.49,188532.6776,10972.6265,1419,58840.5,5.13,2.64,54,5,0,1
Uganda,"Friday, January 1, 2010",49241.75,1143926.81,109404.9448,1494589,12928054.1,3.43,2.67,22,118,12,0.91
Zambia,"Friday, January 1, 2010",26680.97,983933.1544,75676.52848,2497870,20673954.39,3.44,2.66,33,59,11,0.84
Zimbabwe,"Friday, January 1, 2010",48673.72,1275932.839,80573.92144,698939,4679571.64,3.18,2.91,28,29,8,0.78
Nigeria,"Saturday, January 1, 2011",82040.02,1661823.816,130931.5769,3731443,35959782.06,3,4,28,66,24,0.73
Nigeria,"Sunday, January 1, 2012",77384.83,1704547.39,128605.835,6899952,57117831.83,3.23,4.33,35,125,10,0.93
Nigeria,"Tuesday, January 1, 2013",69710.81,1757668.226,128364.6448,5176819,55933176.76,2.98,4.34,41,109,36,0.75
Nigeria,"Wednesday, January 1, 2014",63552.08,1819680.075,130147.3054,4316624,47265256.05,3,5,46,67,15,0.82
Nigeria,"Thursday, January 1, 2015",62333.47,1886156.389,132393.03,6811335,64697700.08,2,5,50,95,10,0.9
Rwanda,"Saturday, January 1, 2011",4849.8,216858.6495,11664.32769,1171926,8647003.79,5,4,42,37,0,1
South Africa,"Saturday, January 1, 2011",183937.29,6366072.478,304825.651,15436074,67742339.79,5,3,31,144,52,0.73
Tanzania,"Saturday, January 1, 2011",67271.97,1496945.515,70865.27605,708850,11469403.97,3,3,19,45,7,0.87
Uganda,"Saturday, January 1, 2011",46318.28,1184853.671,104948.7081,940276,8094251.66,4,3,25,30,23,0.57
Zambia,"Saturday, January 1, 2011",25949.74,1033279.046,75405.9807,3114430,23361080.9,4,3,39,43,24,0.64
Rwanda,"Sunday, January 1, 2012",4619.68,222398.0601,11699.76066,2086343,12651194.14,4.9,4.03,49,89,4,0.96
Zimbabwe,"Saturday, January 1, 2011",40032.23,1290532.719,72346.50899,1220822,7429812.03,3,3,37,46,31,0.6
Rwanda,"Tuesday, January 1, 2013",4391.03,227704.7972,11131.32538,564171,5542543.33,4.49,4.48,54,21,2,0.91
Rwanda,"Wednesday, January 1, 2014",4258.03,232855.4576,10588.90709,1726632,12539737.2,4,5,60,50,22,0.69
Rwanda,"Thursday, January 1, 2015",4214.75,236734.8276,10016.92612,1095028,8859886.23,4,5,66,54,8,0.87
Senegal,"Thursday, January 1, 2015",2163.97,53729.78727,3570.357606,200,2064,4,5,43,1,1,0.5
South Africa,"Sunday, January 1, 2012",155935.59,6653294.624,324756.339,913852,4012189.98,4.51,2.97,38,13,5,0.72
Tanzania,"Sunday, January 1, 2012",61266.96,1544476.957,68892.69909,3446913,32671400.23,3.1,3.23,30,92,5,0.95
Uganda,"Sunday, January 1, 2012",42739.86,1229413.128,97805.51866,2031999,15150212.15,3.38,3.15,34,120,6,0.95
Zambia,"Sunday, January 1, 2012",25051.07,1080523.842,74841.77785,5113821,40242848.23,3.87,2.83,42,76,7,0.92
Zimbabwe,"Sunday, January 1, 2012",34358.59,1307869.677,62250.14777,2807865,14829871.11,3.16,3.1,43,86,8,0.91
South Africa,"Tuesday, January 1, 2013",137116.93,6947854.381,330501.9873,95311,1311196.05,4.48,2.99,43,57,1,0.98
South Africa,"Wednesday, January 1, 2014",126839.71,7235946.411,328988.3882,65366,1283746.29,4,3,48,343,0,1
South Africa,"Thursday, January 1, 2015",119794.36,7521619.082,321451.8552,15194,468161.63,4,3,53,228,0,1
Tanzania,"Tuesday, January 1, 2013",51531.56,1602214.799,71965.89712,2446649,22628749.56,3.16,3.66,35,80,17,0.82
Tanzania,"Wednesday, January 1, 2014",46227.74,1673327.574,77526.09711,2300049,18284486.48,3,4,43,51,31,0.62
Tanzania,"Thursday, January 1, 2015",43568.58,1752979.602,79273.28666,86381,560775.62,3,4,48,9,1,0.9
